transaction_id,timestamp,sender_id,receiver_id,amount,merchant_category,transaction_type,location,device_type,upi_channel,hour,day_of_week,is_weekend,is_late_night,amount_deviation,transactions_last_1h,recipient_repeat_count,previous_device,previous_location,device_changed,location_changed,fraud_label,user_avg_amount,user_median_amount,user_max_amount,user_transaction_count,iqr_anomaly,isolation_prediction,isolation_anomaly,isolation_score,transaction_hour,time_series_anomaly,burst_anomaly,risk_iqr,risk_isolation,risk_burst,risk_device,risk_location,risk_late_night,risk_time_series,risk_score,risk_level,is_suspicious,number_of_signals,risk_score_range,improved_risk_score,improved_is_suspicious,final_risk_score,final_is_suspicious,final_risk_level
TXN_000898,2026-09-14 04:51:42.793653,USER_0001,USER_0451,120.22,Education,P2M,Chennai,Android,PhonePe,4,0,0,1,0.22893896492336846,0.0,0,,,0,0,0,525.118125,299.97,2385.88,16,0,1,0,-0.06684639357302946,2026-09-14 04:00:00,0,0,0,0,0,0,0,5,0,5,Low,0,1,"(-0.001, 10.0]",5,0,5,0,Low
TXN_001050,2026-09-14 07:23:42.793653,USER_0001,USER_0621,768.39,Healthcare,P2P,Bangalore,iOS,BHIM,7,0,0,0,1.4632707640780824,0.0,0,Android,Chennai,1,1,0,525.118125,299.97,2385.88,16,0,1,0,-0.21314382080372835,2026-09-14 07:00:00,0,0,0,0,0,15,10,0,0,25,Low,0,2,"(20.0, 30.0]",10,0,10,0,Low
TXN_001358,2026-09-14 12:31:42.793653,USER_0001,USER_0271,159.36,Food,P2M,Jaipur,Web,Google Pay,12,0,0,0,0.30347457536340045,0.0,0,iOS,Bangalore,1,1,0,525.118125,299.97,2385.88,16,0,1,0,-0.22915406088136048,2026-09-14 12:00:00,0,0,0,0,0,15,10,0,0,25,Low,0,2,"(20.0, 30.0]",10,0,10,0,Low
TXN_001586,2026-09-14 16:19:42.793653,USER_0001,USER_0956,109.54,Shopping,P2P,Jaipur,Android,PhonePe,16,0,0,0,0.20860068389374298,0.0,0,Web,Jaipur,1,1,1,525.118125,299.97,2385.88,16,0,1,0,-0.22238680863823745,2026-09-14 16:00:00,0,0,0,0,0,15,10,0,0,25,Low,0,2,"(20.0, 30.0]",10,0,10,0,Low
TXN_002761,2026-09-15 11:54:42.793653,USER_0001,USER_0299,296.17,Bills,P2M,Jaipur,Android,Google Pay,11,1,0,0,0.5640064318861591,0.0,0,Android,Jaipur,0,0,0,525.118125,299.97,2385.88,16,0,1,0,-0.13687144076349278,2026-09-15 11:00:00,0,0,0,0,0,0,0,0,0,0,Low,0,0,"(-0.001, 10.0]",0,0,0,0,Low
TXN_002840,2026-09-15 13:13:42.793653,USER_0001,USER_0324,189.9,Travel,P2M,Kolkata,Android,Other,13,1,0,0,0.36163291830766653,0.0,0,Android,Jaipur,0,1,0,525.118125,299.97,2385.88,16,0,1,0,-0.19503621164172708,2026-09-15 13:00:00,0,0,0,0,0,0,10,0,0,10,Low,0,1,"(-0.001, 10.0]",5,0,5,0,Low
TXN_004235,2026-09-16 12:28:42.793653,USER_0001,USER_0578,137.92,Entertainment,P2M,Pune,Android,Google Pay,12,2,0,0,0.2626456666297702,0.0,0,Android,Kolkata,0,1,0,525.118125,299.97,2385.88,16,0,1,0,-0.19183849086181698,2026-09-16 12:00:00,0,0,0,0,0,0,10,0,0,10,Low,0,1,"(-0.001, 10.0]",5,0,5,0,Low
TXN_004512,2026-09-16 17:05:42.793653,USER_0001,USER_0038,105.3,Shopping,P2M,Kolkata,Web,Google Pay,17,2,0,0,0.20052631015164446,0.0,0,Android,Pune,1,1,0,525.118125,299.97,2385.88,16,0,1,0,-0.22083325675167192,2026-09-16 17:00:00,0,0,0,0,0,15,10,0,0,25,Low,0,2,"(20.0, 30.0]",10,0,10,0,Low
TXN_004935,2026-09-17 00:08:42.793653,USER_0001,USER_0291,144.13,Shopping,P2M,Chennai,Android,Paytm,0,3,0,1,0.27447157722845694,0.0,0,Web,Kolkata,1,1,0,525.118125,299.97,2385.88,16,0,1,0,-0.1606117548995838,2026-09-17 00:00:00,0,0,0,0,0,15,10,5,0,30,Medium,1,3,"(20.0, 30.0]",15,0,15,0,Low
TXN_005759,2026-09-17 13:52:42.793653,USER_0001,USER_0911,1174.86,Bills,P2P,Mumbai,Web,Other,13,3,0,0,2.237325173264587,0.0,0,Android,Chennai,1,1,0,525.118125,299.97,2385.88,16,0,1,0,-0.18212010474073914,2026-09-17 13:00:00,0,0,0,0,0,15,10,0,0,25,Low,0,2,"(20.0, 30.0]",10,0,10,0,Low
